dbscan.color_weight,dbscan.eps,dbscan.min_samples,gauss.k,gauss.pos,hist.pos,max_grain_ratio,nlmeans.h,nlmeans.pos,nlmeans.search,nlmeans.temp,sav.poly,sav.pos,sav.window,file,runs,loss,m_time,sd_time
1.0,0.5,29,5,2,0,4.2,23,0,37,19,10,1,30,34-c-l-0_ungefaehr_002.pkl,100,0.19730639730639732,91.95426196813584,42.84384233958074
0.5,0.6,26,12,4,0,1.2,18,2,38,12,8,1,42,28-f-p-1_002.pkl,100,0.22998694254720772,93.46388096570969,38.498772016868095
3.5,2.5,13,3,0,4,2.1,8,1,43,10,11,0,26,17 2 650 cbs_04.pkl,100,0.17249240121580547,90.45300928592683,36.415659466023975
1.5,0.6,22,1,0,4,1.1,1,3,37,9,11,1,27,17 0 nach 550_002.pkl,100,0.2892668893479814,93.98071638584138,40.31056323706575
4.0,0.7000000000000001,29,13,0,3,2.6,11,1,43,10,9,2,27,28-run1-c-CBS-p-1-50k.pkl,100,0.09320512943909193,91.47152096271515,39.689757418418004
3.0,1.6,8,9,2,4,3.5,10,1,38,10,2,3,11,17 1 nach 450 cbs.pkl,100,0.19723725527317357,83.46936632871628,40.31046862768297
3.0,1.3000000000000003,5,10,0,4,3.0,12,0,27,12,2,1,26,32-pre-hochaufloesung_001.pkl,100,0.2975564209423607,88.52508628845214,40.05905704239897
3.0,1.8000000000000003,30,2,1,4,2.0,27,3,38,10,10,2,20,17 3 650 cbs_11.pkl,100,0.22813743747033263,92.9270173740387,36.844724758351035
3.0,1.2000000000000002,7,9,0,2,3.4000000000000004,13,0,23,13,10,1,9,34-c-p-2_ungefaehr_001.pkl,100,0.34406574410456936,92.1985744857788,39.83676232485466
0.5,1.3000000000000003,22,13,0,1,1.1,19,2,46,15,6,4,4,17 1 nach 550_002.pkl,100,0.49635036496350365,92.21742436408996,40.46154508199676
3.5,1.8000000000000003,19,6,0,4,4.5,2,3,35,12,1,1,51,34-b-l-0_ungefaehr_003.pkl,100,0.17381898073528282,107.08368381261826,49.288350076755485
3.5,2.5,6,12,1,4,4.7,14,3,29,13,3,2,27,28-e-p-1_002.pkl,100,0.3148959985076019,92.83830761909485,37.19243526204712
2.5,1.8000000000000003,4,3,1,4,6.5,25,2,39,14,8,0,48,17-3-nach-500-cbs_006.pkl,100,0.25642429773856606,92.88430677652359,37.99119295639547
3.0,1.7000000000000002,3,1,0,2,5.5,13,0,25,12,7,0,31,32-pre-hochaufloesung_004.pkl,100,0.3055080284285338,87.36360735416412,33.172832484473126
2.5,1.8000000000000003,14,5,1,3,4.5,11,2,40,15,8,0,10,34-b-p-1_ungefaehr_003.pkl,100,0.2463884898807647,84.64603775501251,32.059534299720816
2.5,1.9000000000000001,6,10,1,3,1.2,30,0,33,9,4,2,34,17 0 nach 450 cbs_003.pkl,100,0.27246415650542677,89.67073246479035,43.13775777478021
3.0,2.3000000000000003,14,11,2,4,2.2,11,1,42,13,5,3,27,17 0 650 cbs 01_002.pkl,100,0.1531329597554763,92.4619795370102,93.0592446271628
2.0,1.5000000000000002,5,11,3,4,3.4000000000000004,10,1,45,15,11,2,32,28-e-l-0_003.pkl,100,0.2871127000340484,91.5163939666748,43.86819453434543
4.0,2.5,7,11,1,4,5.800000000000001,8,3,27,10,8,0,31,17 2 nach 600 cbs_004.pkl,100,0.16025931785244107,92.12763420343398,40.13131168960978
2.5,1.0,27,5,2,4,1.2,4,1,43,7,11,0,9,17 1 nach 600 cbs_001.pkl,100,0.2806300736519542,86.3999679350853,33.12019136370292
2.0,1.2000000000000002,2,15,0,4,1.4,28,1,35,11,5,2,43,17 1 650 cbs_05.pkl,100,0.17347826086956522,96.94787655115128,42.27540298930815
4.0,2.5,19,7,0,3,4.4,29,1,28,19,2,2,13,17 3 nach 600 cbs_003.pkl,100,0.16995135650167995,92.1782886171341,36.889353058176816
4.0,2.3000000000000003,30,10,1,4,6.9,21,0,34,10,1,2,29,17 2 nach 450 cbs_001.pkl,100,0.2181248085634602,95.95026424407959,45.51106514983988
0.5,0.30000000000000004,28,6,1,4,1.7000000000000002,3,2,27,14,6,3,17,17 3 nach 550_007.pkl,100,0.25515632673105254,90.40861730337143,34.911995754727066
1.5,0.8,4,15,2,4,4.4,15,1,22,15,1,3,37,17 0 nach 600 cbs_002.pkl,100,0.17093806685669863,99.34157252788543,44.49016990019998
3.0,2.2,2,4,2,4,5.2,18,1,28,16,2,0,45,28-f-l-0_002.pkl,100,0.247337933384445,97.49670868873596,42.041960782448776
1.0,0.7000000000000001,15,9,0,2,1.4,17,0,47,12,7,1,27,17-0-nach-500-cbs _004.pkl,100,0.3254990063077854,87.91406264781952,30.916097195354112
0.5,0.30000000000000004,24,15,3,4,6.1000000000000005,17,1,50,9,5,2,36,17-1-nach-500-cbs_002.pkl,100,0.2579930821178236,98.25211738586425,44.80742888760484
4.0,1.7000000000000002,5,12,0,4,6.7,8,0,42,19,1,3,19,17 2 nach 550_003.pkl,100,0.2120670098595236,84.86943958759308,33.27542694804333
1.0,0.5,24,4,2,4,4.6,17,1,26,9,2,3,18,17-2-nach-500-cbs_002.pkl,100,0.28406837651145006,105.6930519413948,82.61545859218941
0.5,1.9000000000000001,10,15,1,2,6.0,13,4,23,9,3,3,41,17 3 nach 450 cbs_01.pkl,100,0.2614035087719298,100.07265721321106,42.99698270850253
