SLIC.compactness,SLIC.n_segments,gauss.k,gauss.pos,hist.pos,max_grain_ratio,nlmeans.h,nlmeans.pos,nlmeans.search,nlmeans.temp,sav.poly,sav.pos,sav.window,file,runs,loss,m_time,sd_time
0.06999999999999999,5600,9,0,3,4.1,12,1,23,19,6,2,3,34-c-l-0_ungefaehr_002_slic.pkl,500,0.10616582491582492,2383.2149818229677,1367.867137882816
0.02,1400,11,1,2,1.3,28,3,45,11,7,4,7,17 3 nach 600 cbs_003_slic.pkl,500,0.11338386240869354,2017.0393872208595,1451.013406158544
0.01,3100,6,3,4,1.7000000000000002,23,1,33,14,10,2,15,28-e-l-0_003_slic.pkl,500,0.04410829203343442,2423.5492177586557,1386.7474291506671
0.01,3900,13,3,2,6.4,6,1,30,16,4,4,13,17-1-nach-500-cbs_002_slic.pkl,500,0.06074485214591006,2499.5124625234603,1228.0254381359532
0.01,700,2,2,3,6.300000000000001,8,1,39,9,3,4,27,17 1 650 cbs_05_slic.pkl,500,0.1046808510638298,1948.9966856245994,1603.9400455043524
0.02,2300,12,1,2,3.6,16,0,38,11,8,4,9,28-e-p-1_002_slic.pkl,500,0.04796913795403397,2248.7267345757487,1258.9344446177963
0.02,5400,12,0,4,5.5,19,0,49,14,10,1,8,34-b-p-1_ungefaehr_003_slic.pkl,500,0.12369983439837436,3106.337588210583,1456.8641689941155
0.01,2500,13,3,2,3.7,20,1,21,7,6,0,11,34-b-l-0_ungefaehr_003_slic.pkl,500,0.09322567476873474,2400.91892629385,1382.6457937709715
0.01,2600,5,1,2,1.9,9,4,49,13,8,3,18,17 0 nach 550_002_slic.pkl,500,0.04343301307347387,2316.8150253691674,1298.3329498823218
0.01,2500,2,1,2,2.5,4,4,34,8,2,3,30,17 1 nach 450 cbs_slic.pkl,500,0.09729071818318749,2225.421389225006,1295.187386313207
0.02,600,4,3,1,2.4000000000000004,19,2,30,14,4,4,18,17 3 650 cbs_11_slic.pkl,500,0.1662046002312654,1958.7260141587258,1588.702172975489
0.01,7700,4,1,3,6.6000000000000005,25,2,50,9,7,4,16,17 0 nach 450 cbs_003_slic.pkl,500,0.0513489951606884,2879.407588494301,1292.383879000394
0.03,2800,2,0,3,1.7000000000000002,22,1,33,18,11,2,33,28-f-p-1_002_slic.pkl,500,0.0580853134376774,2363.6872739291193,1398.3993379667895
0.02,1900,15,1,2,5.1000000000000005,28,4,40,10,6,0,24,17 1 nach 550_002_slic.pkl,500,0.06153734149568564,2152.682108027935,1404.2847222172918
0.01,2700,9,0,3,5.4,30,2,26,18,8,1,41,34-c-p-2_ungefaehr_001_slic.pkl,500,0.08747346889870254,2597.3231224722863,1551.4301919491581
0.01,5100,10,1,3,6.4,14,2,26,12,6,0,51,17 3 nach 450 cbs_01_slic.pkl,500,0.11160919362247926,2813.867258900166,1373.1177580376157
0.01,700,6,1,2,3.6,12,4,29,9,10,0,25,17 0 650 cbs 01_002_slic.pkl,500,0.13846153846153847,1795.216617062092,1495.5558134647904
0.01,3300,5,3,1,2.3,28,2,22,8,4,4,8,32-pre-hochaufloesung_001_slic.pkl,500,0.03393104453677382,2405.337195459366,1277.356889397033
0.01,3300,11,0,2,3.0,30,4,29,7,6,1,31,32-pre-hochaufloesung_004_slic.pkl,500,0.06284619036733545,2742.901909629345,1495.8977389622726
0.01,1800,5,2,4,6.300000000000001,18,3,49,15,10,1,5,17 2 nach 600 cbs_004_slic.pkl,500,0.10130636084025915,1998.6615181093216,1406.5430010618013
0.01,3200,15,3,2,2.3,30,1,31,7,2,0,9,17 3 nach 550_007_slic.pkl,500,0.08329931207099824,2657.1286777238847,1377.4080456319127
0.05,2100,6,4,1,4.300000000000001,8,0,28,14,8,3,14,28-f-l-0_002_slic.pkl,500,0.04616416227254717,2374.937020558834,1322.5246601143842
0.08,9600,5,0,0,4.9,21,2,32,7,4,1,34,28-run1-c-CBS-p-1-50k_slic.pkl,500,0.18068151504053462,4073.552202308178,1911.9510765353602
0.01,3100,14,2,4,5.5,10,1,34,12,8,3,12,17 2 nach 550_003_slic.pkl,500,0.08126107649609327,2324.986985733986,1449.5856777371596
0.01,5400,13,3,2,6.9,5,1,31,15,11,4,51,17 2 nach 450 cbs_001_slic.pkl,500,0.0607234615227764,2881.0084929986,1271.5023240946634
0.02,3700,13,1,2,5.0,4,3,27,18,3,4,9,17-3-nach-500-cbs_006_slic.pkl,500,0.05481311975591152,2556.0466815004347,1234.961124410031
0.02,3300,7,4,3,3.4000000000000004,26,0,51,9,11,0,16,17-0-nach-500-cbs _004_slic.pkl,500,0.06686473004694836,2480.529723749161,1445.47993708947
0.01,1700,14,0,1,5.9,26,4,48,7,11,2,37,17 0 nach 600 cbs_002_slic.pkl,500,0.05651486401012018,1958.5305342488289,1391.099258260217
0.01,600,8,3,2,6.5,14,1,35,8,9,0,34,17 2 650 cbs_04_slic.pkl,500,0.14620610099974365,2039.3054910478593,1665.2160633367348
0.01,3600,2,4,2,3.5,18,1,34,17,7,3,49,17-2-nach-500-cbs_002_slic.pkl,500,0.06291390728476821,2547.073589492798,1364.7213724089424
0.01,2400,10,3,2,5.5,13,1,23,9,2,0,45,17 1 nach 600 cbs_001_slic.pkl,500,0.06592127787934747,2074.907992673874,1310.707215783703
